State,Top Candy,Pounds,Second Place,Pounds,Third Place,Pounds,State Total,Population (in Millions),Pounds Per Million
AK,Twix,5082,Blow Pops,4012,Kit Kat,3209,12303,0.7,17575.71429
AL,Hershey's Mini Chocolate Candy Bars,66000,Candy Corn,40173,Tootsie Pops,34434,140607,4.9,28695.30612
AR,Jolly Ranchers Candy,245850,Butterfinger,194631,Hot Tamales Minis,51218,491699,3,163899.6667
AZ,Snickers,963971,Hershey Kisses,680450,Hot Tamales Minis,453633,2098054,7.3,287404.6575
CA,Assorted Salt Water Taffy,1650000,M&M's,1188000,Skittles,726000,3564000,39.5,90227.8481
CO,Twix,5532,Milky Way,4918,Hershey Kisses,2459,12909,5.8,2225.689655
CT,Almond Joy,2619,Milky Way,1366,M&M's,910,4895,3.5,1398.571429
DC,M&M's,26400,Tootsie Pops,18276,Blow Pops,10153,54829,0.7,78327.14286
DE,Life Savers,19905,Skittles,17061,Candy Corn,8530,45496,1,45496
FL,Skittles,660000,Snickers,543529,Reese's Peanut Butter Cups,194117,1397646,21.5,65006.7907
GA,Swedish Fish,148731,Hershey Kisses,88136,Lemonheads,38559,275426,10.6,25983.58491
HI,Hershey Kisses,271042,Hawaiian Host,255984,Milky Way,105405,632431,1.4,451736.4286
IA,Reese's Peanut Butter Cups,60746,M&M's,48597,Butterfinger,18223,127566,3.2,39864.375
ID,Candy Corn,89311,Starburst,54363,Reese's Peanut Butter Cups,34947,178621,1.8,99233.88889
IL,Kit Kat,174606,Sour Patch Kids,116404,M&M's,83145,374155,12.7,29461.02362
IN,Hot Tamales,101217,Starburst,65068,Snickers,25304,191589,6.7,28595.37313
KS,M&M's,247500,Reese's Peanut Butter Cups,210375,Dubble Bubble Gum,111375,569250,2.9,196293.1034
KY,Tootsie Pops,77880,3 Musketeers,44930,Dubble Bubble Gum,20967,143777,4.5,31950.44444
LA,Lemonheads,108240,Reese's Peanut Butter Cups,76670,Jolly Ranchers Candy,27060,211970,4.6,46080.43478
MA,Butterfinger,78573,Sour Patch Kids,67858,Salt Water Taffy,32143,178574,6.9,25880.28986
MD,Milky Way,41580,Reese's Peanut Butter Cups,25309,Skittles,10846,77735,6,12955.83333
ME,Sour Patch Kids,66039,M&M's,33019,Starburst,14151,113209,1.3,87083.84615
MI,Candy Corn,150876,Skittles,125730,Starburst,67056,343662,9.9,34713.33333
MN,Skittles,199320,Tootsie Pops,189354,Almond Joy,89694,478368,5.6,85422.85714
MO,Milky Way,47143,Dubble Bubble Gum,27857,Butterfinger,23571,98571,6.1,16159.18033
MS,3 Musketeers,115533,Snickers,90417,Butterfinger,45208,251158,3,83719.33333
MT,Dubble Bubble Gum,25740,Twix,14850,M&M's,10890,51480,1.1,46800
NC,Reese's Peanut Butter Cups,104940,M&M's,86689,Candy Corn,41063,232692,10.5,22161.14286
ND,Hot Tamales,70313,Jolly Ranchers Candy,55510,Candy Corn,44408,170231,0.8,212788.75
NE,Sour Patch Kids,105897,Salt Water Taffy,67389,M&M's,24067,197353,1.9,103870
NH,Starburst,68871,Snickers,57392,Sour Patch Kids,22957,149220,1.4,106585.7143
NJ,Tootsie Pops,164019,Skittles,154907,M&M's,82009,400935,8.8,45560.79545
NM,Candy Corn,82731,Milky Way,56407,Salt Water Taffy,41365,180503,2.1,85953.80952
NV,Hershey Kisses,341220,Candy Corn,184827,Skittles,127957,654004,3.1,210969.0323
NY,Sour Patch Kids,198016,Candy Corn,95047,Reese's Peanut Butter Cups,39603,332666,19.5,17059.79487
OH,M&M's,171600,Blow Pops,139425,Snickers,96525,407550,11.7,34833.33333
OK,Snickers,19279,Dubble Bubble Gum,8898,Butterfinger,7415,35592,3.9,9126.153846
OR,Reese's Peanut Butter Cups,91740,M&M's,51374,Tootsie Pops,36696,179810,4.2,42811.90476
PA,Skittles,299442,M&M's,269497,Hershey's Mini Chocolate Candy Bars,104804,673743,12.8,52636.17188
RI,Candy Corn,16731,M&M's,11583,Twix,7078,35392,1.1,32174.54545
SC,Candy Corn,117480,Skittles,91940,Hot Tamales Minis,35754,245174,5.1,48073.33333
SD,Starburst,27809,Jolly Ranchers Candy,19569,Almond Joy,6179,53557,0.9,59507.77778
TN,Tootsie Pops,58740,Salt Water Taffy,33200,Skittles,12769,104709,6.8,15398.38235
TX,Reese's Peanut Butter Cups,1989901,Starburst,1872843,Almond Joy,819375,4682119,28.9,162011.0381
UT,Jolly Ranchers Candy,469590,Reese's Peanut Butter Cups,260883,Tootsie Pops,139137,869610,3.2,271753.125
VA,Hot Tamales,286110,Snickers,232464,Candy Corn,107291,625865,8.5,73631.17647
VT,Milky Way,32340,M&M's,23100,Skittles,12320,67760,0.6,112933.3333
WA,Salt Water Taffy,207900,Tootsie Pops,171211,Hershey Kisses,61147,440258,7.6,57928.68421
WI,Butterfinger,115698,Starburst,112983,Lemonheads,30446,259127,5.8,44677.06897
WV,Blow Pops,42438,Hershey's Mini Chocolate Candy Bars,19703,Milky Way,16672,78813,1.8,43785
WY,Reese's Peanut Butter Cups,31026,Salt Water Taffy,19595,Skittles,17962,68583,0.6,114305
